,param,relation,title,wlci_id,xdd_id
0,max=1&doi=10.1002/jwmg.21386,doi_match,Greater Sage-Grouse Population Trends Across Wyoming: WY Sage-grouse Population Viability Analysis,http://zotero.org/groups/2341914/items/R3NSCC9R,5c2c30a41faed655488b299b
1,max=1&doi=10.1016/j.ecolind.2015.03.002,doi_match,Forecasting Sagebrush Ecosystem Components and Greater Sage-grouse Habitat for 2050: Learning from Past Climate Patterns and Landsat Imagery to Predict the Future,http://zotero.org/groups/2341914/items/Z7TMPV6Q,579f4458cf58f123c56623f8
2,max=1&doi=10.1002/jwmg.155,doi_match,The Importance of Within-Year Repeated Counts and the Influence of Scale on Long-Term Monitoring of Sage-grouse,http://zotero.org/groups/2341914/items/JFV5GDKM,5c2c1b8a1faed655488b27d9
3,max=1&doi=10.1002/eap.1512,doi_match,Patterns in Greater Sage-grouse population dynamics correspond with public grazing records at broad scales,http://zotero.org/groups/2341914/items/Q5TCVPYX,58e2c641cf58f1697d39b86b
4,max=1&doi=10.1002/jwmg.21179,doi_match,Investigating Impacts of Oil and Gas Development on Greater Sage-grouse: Oil and Gas Impacts on Sage-grouse,http://zotero.org/groups/2341914/items/W5K4UAZ8,5c2c22901faed655488b289b
5,max=1&doi=10.1080/2150704X.2015.1072289,doi_match,Mapping Forest Functional Type in a Forest-Shrubland Ecotone using SPOT Imagery and Predictive Habitat Distribution Modelling,http://zotero.org/groups/2341914/items/X3I66DJ8,594407d1cf58f1b3059ba5a4
6,max=1&doi=10.1016/j.ecolind.2017.12.033,doi_match,Vegetation Responses to Sagebrush-reduction Treatments Measured by Satellites,http://zotero.org/groups/2341914/items/822S7HY8,5ad055c3cf58f1a9152a8fd5
7,max=1&doi=10.1080/15420353.2014.885925,doi_match,"Geospatial Considerations for a Multiorganizational, Landscape-scale Program",http://zotero.org/groups/2341914/items/9N87KUPL,5c7442c01faed65548974980
8,max=1&doi=10.1080/15420353.2014.885925,doi_match,"Map Service: Historical Oil and Gas Exploration for the Wyoming Landscape Conservation Initiative (WLCI), Southwestern Wyoming",http://zotero.org/groups/2341914/items/RUFHZ2GV,5c7442c01faed65548974980
9,max=1&doi=10.1080/15420353.2014.885925,doi_match,Interactive Mapping Application of Oil and Gas Development in Southwestern Wyoming—Energy Data and Services for the Wyoming Landscape Conservation Initiative (WLCI),http://zotero.org/groups/2341914/items/I7C83EUR,5c7442c01faed65548974980
10,max=1&doi=10.1002/jwmg.337,doi_match,"Interseasonal Movements of Greater Sage-Grouse, Migratory Behavior, and an Assessment of the Core Regions Concept in Wyoming",http://zotero.org/groups/2341914/items/4TCBL9S3,5c2c30a41faed655488b29a1
11,max=1&doi=10.1016/j.jhydrol.2015.02.020,doi_match,Soil Disturbance as a Driver of Increased Stream Salinity in a Semiarid Watershed Undergoing Energy Development,http://zotero.org/groups/2341914/items/HJ28LVB4,54fefadfe13823a766aa719f
12,max=1&doi=10.1080/01431161.2011.605085,doi_match,Assessing Long-Term Variations in Sagebrush Habitat – Characterization of Spatial Extents and Distribution Patterns Using Multi-Temporal Satellite Remote-Sensing Data,http://zotero.org/groups/2341914/items/TRECRZAA,5904c6c6cf58f152d18be8bf
13,max=1&doi=10.1002/ecs2.2113,doi_match,Evaluating the Influence of Energy and Residential Development on the Migratory Behavior of Mule Deer,http://zotero.org/groups/2341914/items/5GTCJ27A,5c4977e21faed6554893aeb0
14,max=1&doi=10.1002/ieam.4118,doi_match,Multiple Approaches to Surface Water Quality Assessment Provide Insight for Small Streams Experiencing Oil and Natural Gas Development,http://zotero.org/groups/2341914/items/D78REKE6,5ce31ce50b45c76caf8ae883
15,max=1&doi=10.1890/08-2034.1,doi_match,Identifying and Prioritizing Ungulate Migration Routes for Landscape-level Conservation,http://zotero.org/groups/2341914/items/K7EW3YQE,5839f904cf58f149de664120
16,max=1&doi=10.2193/2008-478,doi_match,Influence of Well Pad Activity on Winter Habitat Selection Patterns of Mule Deer,http://zotero.org/groups/2341914/items/F4N9CWU6,572c8f7ccf58f1127a9809f7
17,max=1&doi=10.1111/1365-2664.12013,doi_match,A Framework for Understanding Semi-Permeable Barrier Effects on Migratory Ungulates,http://zotero.org/groups/2341914/items/7243RZFL,58976134cf58f1a1de231c7a
18,max=1&doi=10.1111/j.1365-2656.2011.01845.x,doi_match,Stopover Ecology of a Migratory Ungulate,http://zotero.org/groups/2341914/items/Q9VEKFZX,583da612cf58f107cb09840d
19,max=1&doi=10.1016/j.biocon.2018.10.020,doi_match,Novel Landscape Elements within Natural Gas Fields Increase Densities but Not Fitness of an Important Songbird Nest Predator,http://zotero.org/groups/2341914/items/K4YNMGZX,5c1cc81f1faed65548897433
20,max=1&doi=10.1002/ece3.3607,doi_match,Salinity Tolerance of Three Competing Rangeland Plant Species: Studies in Hydroponic Culture,http://zotero.org/groups/2341914/items/JK87YUFS,5a49f8becf58f132c3775c3a
21,max=1&doi=10.1016/j.jag.2014.01.008,doi_match,Performance and Effects of Land Cover Type on Synthetic Surface Reflectance Data and NDVI Estimates for Assessment and Monitoring of Semi-arid Rangeland,http://zotero.org/groups/2341914/items/4W5FVZZM,551d04b9e138236e51a9956a
22,max=1&doi=10.1016/j.jag.2011.09.012,doi_match,"Multi-Scale Remote Sensing Sagebrush Characterization with Regression Trees over Wyoming, USA: Laying a Foundation for Monitoring",http://zotero.org/groups/2341914/items/5PXF3TPC,551d6881e138236e51a9970e
23,max=1&doi=10.1111/1365-2664.12513,doi_match,"Towards a Mechanistic Understanding of Human-induced Rapid Environmental Change: A Case Study Linking Energy Development, Nest Predation and Predators",http://zotero.org/groups/2341914/items/NNI3PJ5Z,5897848bcf58f1ac5aa42563
24,max=1&doi=10.1016/j.biocon.2015.02.009,doi_match,"Energy Development and Avian Nest Survival in Wyoming, USA: A Test of a Common Disturbance Index",http://zotero.org/groups/2341914/items/88PSMFIC,57a84443cf58f17046db1a8a
25,max=1&doi=10.1016/j.ecolmodel.2017.05.017,doi_match,Using Dynamic Population Simulations to Extend Resource Selection Analyses and Prioritize Habitats for Conservation,http://zotero.org/groups/2341914/items/G9L9FU5W,5acfde1ecf58f17c7517b27d
26,max=1&doi=10.1111/ele.12772,doi_match,The Greenscape Shapes Surfing of Resource Waves in a Large Migratory Herbivore,http://zotero.org/groups/2341914/items/BH3VH7QL,5900f56ccf58f172049f469a
27,max=1&doi=10.1016/j.foreco.2016.01.017,doi_match,Spatial and Temporal Trends of Drought Effects in a Heterogeneous Semi-arid Forest Ecosystem,http://zotero.org/groups/2341914/items/RUATTVSK,577bdf78cf58f1585217325f
28,max=1&doi=10.1016/j.foreco.2016.01.017,doi_match,"Video: Exploration and Production Through Time, Produced for Report: Oil and Gas Development in Southwestern Wyoming—Energy Data and Services for the Wyoming Landscape Conservation Initiative (WLCI),",http://zotero.org/groups/2341914/items/SEWHB8JW,577bdf78cf58f1585217325f
29,max=1&doi=10.1111/gcb.12852,doi_match,Greater Deciduous Shrub Abundance Extends Tundra Peak Season and Increases Modeled Net CO2 Uptake,http://zotero.org/groups/2341914/items/LSJ875PV,585b52f3cf58f1a722da9ab5
30,max=1&doi=10.1111/gcb.12852,doi_match,Habitat Use and Migration Ecology of Mule Deer in Developing Gas Fields of Western Wyoming,http://zotero.org/groups/2341914/items/UWBWSZ6T,585b52f3cf58f1a722da9ab5
31,max=1&doi=10.1111/gcb.12852,doi_match,Demographic Responses of Sagebrush-Obligate Songbirds to Oil and Natural Gas Development in Western Wyoming,http://zotero.org/groups/2341914/items/CFZY53Q2,585b52f3cf58f1a722da9ab5
32,max=1&doi=10.1002/wmon.1014,doi_match,"Habitat Prioritization Across Large Landscapes, Multiple Seasons, and Novel Areas: An Example Using Greater Sage-grouse in Wyoming: Wyoming Sage-grouse Habitat Prioritization",http://zotero.org/groups/2341914/items/A2WG577D,5c4e3f571faed655489408c3
33,max=1&doi=10.1002/wmon.1014,doi_match,Evaluating the Influence of Development on Mule Deer Migrations,http://zotero.org/groups/2341914/items/5Z6EBWBP,5c4e3f571faed655489408c3
34,max=1&doi=10.1002/wmon.1014,doi_match,Evaluating Natural Gas Development Impacts on Stream Ecosystems in an Upper Colorado River Watershed,http://zotero.org/groups/2341914/items/2XW76EW7,5c4e3f571faed655489408c3
35,max=1&doi=10.1002/wmon.1014,doi_match,"Retrospective Approaches to Evaluate Resilience of Aspen, Mountain Mahogany, and Sagebrush Communities to Drought",http://zotero.org/groups/2341914/items/KP3R7Q33,5c4e3f571faed655489408c3
